Generacion tiempo_crossover tiempo_mutation tiempo_lso N1 N2 Fitness
G10 1.5159761905670166 1.5268869400024414 2.931676149368286 [0, 17, 8, 23, 6, 16, 4, 0, 33, 1, 32, 0, 38, 39, 9, 40, 34, 0, 5, 13, 31, 36, 0, 2, 30, 22, 0, 29, 11, 15, 21, 27, 7, 0, 18, 25, 19, 0, 35, 37, 10, 12, 3, 0, 14, 20, 28, 24, 26, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5353224.302155386
G11 1.4890482425689697 1.502981185913086 2.8723788261413574 [0, 17, 8, 23, 6, 16, 4, 0, 33, 1, 32, 0, 38, 39, 9, 40, 34, 0, 5, 13, 31, 36, 0, 2, 30, 22, 0, 29, 11, 15, 21, 27, 7, 0, 18, 25, 19, 0, 35, 37, 10, 3, 12, 0, 14, 20, 28, 24, 26, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5305335.095026789
G12 1.4880197048187256 1.4920101165771484 2.8613498210906982 [0, 17, 8, 23, 6, 16, 4, 0, 33, 1, 32, 0, 38, 39, 9, 40, 34, 0, 5, 13, 31, 36, 0, 2, 30, 22, 0, 29, 11, 15, 21, 27, 7, 0, 18, 25, 19, 0, 35, 37, 3, 10, 12, 0, 14, 20, 28, 24, 26, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5304968.744803967
G13 1.4920086860656738 1.510960578918457 2.8653368949890137 [0, 11, 15, 21, 4, 16, 6, 23, 0, 8, 17, 26, 24, 28, 0, 20, 14, 3, 12, 0, 10, 37, 35, 19, 0, 25, 18, 7, 0, 27, 33, 32, 38, 30, 34, 0, 9, 40, 39, 0, 5, 13, 31, 2, 36, 0, 29, 1, 22, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5426825.429714215
G14 1.487990379333496 1.507000207901001 2.877274751663208 [0, 11, 15, 21, 4, 16, 6, 23, 0, 8, 17, 26, 24, 28, 0, 20, 14, 3, 12, 0, 10, 37, 35, 19, 0, 25, 18, 7, 0, 27, 33, 32, 38, 30, 34, 0, 9, 40, 39, 0, 5, 13, 31, 2, 36, 0, 29, 1, 22, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5426825.429714215
G15 1.4810380935668945 1.5010199546813965 2.8563294410705566 [0, 11, 15, 21, 4, 16, 6, 23, 0, 8, 17, 26, 24, 28, 0, 20, 14, 3, 12, 0, 10, 37, 35, 19, 0, 25, 18, 7, 0, 27, 33, 32, 38, 30, 34, 0, 9, 40, 39, 0, 5, 13, 31, 2, 36, 0, 29, 1, 22, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5426825.429714215
G16 1.4840319156646729 1.512974739074707 2.8553128242492676 [0, 11, 15, 21, 4, 16, 6, 23, 0, 8, 17, 26, 24, 28, 0, 20, 14, 3, 12, 0, 10, 37, 35, 19, 0, 25, 18, 7, 0, 27, 33, 32, 38, 30, 34, 0, 9, 40, 39, 0, 5, 13, 31, 2, 36, 0, 29, 1, 22, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5426825.429714215
G17 1.488987922668457 1.4930381774902344 2.891267776489258 [0, 17, 8, 23, 6, 16, 4, 0, 3, 37, 35, 19, 25, 0, 18, 7, 27, 21, 0, 15, 11, 29, 30, 2, 22, 0, 36, 31, 14, 0, 12, 10, 33, 1, 0, 32, 38, 39, 0, 40, 9, 34, 5, 13, 20, 24, 0, 28, 26, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5979963.043966643
G18 1.5209643840789795 1.5258867740631104 2.919262647628784 [0, 20, 28, 33, 34, 38, 9, 0, 39, 40, 5, 13, 0, 21, 10, 37, 35, 0, 19, 25, 17, 7, 27, 0, 18, 1, 0, 32, 24, 26, 4, 30, 11, 0, 22, 15, 12, 29, 0, 3, 2, 36, 31, 8, 0, 6, 23, 16, 14, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5528031.172282109
G19 1.4999887943267822 1.530904769897461 2.9032626152038574 [0, 20, 28, 33, 34, 38, 9, 0, 39, 40, 5, 13, 0, 21, 10, 37, 35, 0, 19, 25, 17, 7, 27, 0, 18, 1, 0, 32, 24, 26, 4, 30, 11, 0, 22, 15, 12, 29, 0, 3, 2, 36, 31, 8, 0, 6, 23, 16, 14, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5528031.172282109
